Nome da Empresa,Nicho,Cidade/Estado,Contato Principal,Tamanho Aproximado,Fonte,Link do Perfil
Clínica Viva - BH,Clínica,Belo Horizonte/MG,(31) 3292-8000,40-100 funcionários,Google Maps,https://www.google.com/maps
Clínica Santa Maria,Clínica,Belo Horizonte/MG,(31) 3271-9000,30-90 funcionários,Google Maps,https://www.google.com/maps
Imobiliária Curitiba Central,Imobiliária,Curitiba/PR,(41) 3323-4000,15-45 funcionários,Google Maps,https://www.google.com/maps
Curitiba Properties,Imobiliária,Curitiba/PR,(41) 3025-6000,10-35 funcionários,Google Maps,https://www.google.com/maps
Paraná Real Estate,Imobiliária,Curitiba/PR,(41) 3234-5000,12-40 funcionários,Google Maps,https://www.google.com/maps
Batel Imóveis,Imobiliária,Curitiba/PR,(41) 3324-7000,18-50 funcionários,Google Maps,https://www.google.com/maps
Hospital Santa Cruz,Clínica,Curitiba/PR,(41) 3338-6000,100-300 funcionários,Google Maps,https://www.google.com/maps
Clínica Curitiba,Clínica,Curitiba/PR,(41) 3323-3333,40-120 funcionários,Google Maps,https://www.google.com/maps
Clínica Santa Helena Curitiba,Clínica,Curitiba/PR,(41) 3014-4000,30-80 funcionários,Google Maps,https://www.google.com/maps
Health Center Curitiba,Clínica,Curitiba/PR,(41) 3345-8000,25-70 funcionários,Google Maps,https://www.google.com/maps
Imobiliária Salvador,Imobiliária,Salvador/BA,(71) 3322-4000,20-50 funcionários,Google Maps,https://www.google.com/maps
Baiana Properties,Imobiliária,Salvador/BA,(71) 3111-6000,15-40 funcionários,Google Maps,https://www.google.com/maps
Imobiliária Pituba,Imobiliária,Salvador/BA,(71) 3345-8000,10-30 funcionários,Google Maps,https://www.google.com/maps
Hospital Santa Isabel,Clínica,Salvador/BA,(71) 3316-2000,80-200 funcionários,Google Maps,https://www.google.com/maps
